template_id,template_accum,ehrs_created,ehrs_accum,compositions_committed,compositions_accum,compositions_commit_time,query,query_execution_time,csv_query_status
Diagnose_47,48,10,480,1000,48000,61851,Diagnose_no_orderby.json,7556,ok
Diagnose_48,49,10,490,1000,49000,61454,Diagnose_no_orderby.json,7557,ok
Diagnose_49,50,10,500,1000,50000,62568,Diagnose_no_orderby.json,7936,ok
Diagnose_50,51,10,510,1000,51000,63746,Diagnose_no_orderby.json,8150,ok
Diagnose_51,52,10,520,1000,52000,65650,Diagnose_no_orderby.json,8429,ok
Diagnose_52,53,10,530,1000,53000,64247,Diagnose_no_orderby.json,8248,ok
Diagnose_53,54,10,540,1000,54000,66217,Diagnose_no_orderby.json,8365,ok
Diagnose_54,55,10,550,1000,55000,66416,Diagnose_no_orderby.json,8565,ok
Diagnose_55,56,10,560,1000,56000,67417,Diagnose_no_orderby.json,8610,ok
Diagnose_56,57,10,570,1000,57000,67672,Diagnose_no_orderby.json,8672,ok
Diagnose_57,58,10,580,1000,58000,68617,Diagnose_no_orderby.json,8994,ok
Diagnose_58,59,10,590,1000,59000,69916,Diagnose_no_orderby.json,9500,ok
Diagnose_59,60,10,600,1000,60000,68692,Diagnose_no_orderby.json,9434,ok
Diagnose_60,61,10,610,1000,61000,71592,Diagnose_no_orderby.json,9641,ok
Diagnose_61,62,10,620,1000,62000,71247,Diagnose_no_orderby.json,9721,ok
Diagnose_62,63,10,630,1000,63000,71443,Diagnose_no_orderby.json,9983,ok
Diagnose_63,64,10,640,1000,64000,72032,Diagnose_no_orderby.json,10001,ok
Diagnose_64,65,10,650,1000,65000,76388,Diagnose_no_orderby.json,12147,ok
Diagnose_65,66,10,660,1000,66000,84418,Diagnose_no_orderby.json,11379,ok
Diagnose_66,67,10,670,1000,67000,81447,Diagnose_no_orderby.json,12436,ok
Diagnose_67,68,10,680,1000,68000,82308,Diagnose_no_orderby.json,12339,ok
Diagnose_68,69,10,690,1000,69000,81873,Diagnose_no_orderby.json,12845,ok
Diagnose_69,70,10,700,1000,70000,83163,Diagnose_no_orderby.json,12425,ok
Diagnose_70,71,10,710,1000,71000,82375,Diagnose_no_orderby.json,12334,ok
Diagnose_71,72,10,720,1000,72000,85191,Diagnose_no_orderby.json,13946,ok
Diagnose_72,73,10,730,1000,73000,83767,Diagnose_no_orderby.json,13175,ok
Diagnose_73,74,10,740,1000,74000,85472,Diagnose_no_orderby.json,13009,ok
Diagnose_74,75,10,750,1000,75000,96156,Diagnose_no_orderby.json,13068,ok
Diagnose_75,76,10,760,1000,76000,85890,Diagnose_no_orderby.json,12104,ok
Diagnose_76,77,10,770,1000,77000,83467,Diagnose_no_orderby.json,12243,ok
Diagnose_77,78,10,780,1000,78000,83291,Diagnose_no_orderby.json,12279,ok
Diagnose_78,79,10,790,1000,79000,83789,Diagnose_no_orderby.json,12072,ok
Diagnose_79,80,10,800,1000,80000,85133,Diagnose_no_orderby.json,12481,ok
Diagnose_80,81,10,810,1000,81000,83173,Diagnose_no_orderby.json,12641,ok
Diagnose_81,82,10,820,1000,82000,83592,Diagnose_no_orderby.json,12428,ok
Diagnose_82,83,10,830,1000,83000,86199,Diagnose_no_orderby.json,13280,ok
Diagnose_83,84,10,840,1000,84000,86772,Diagnose_no_orderby.json,12523,ok
Diagnose_84,85,10,850,1000,85000,87158,Diagnose_no_orderby.json,13130,ok
Diagnose_85,86,10,860,1000,86000,89610,Diagnose_no_orderby.json,13120,ok
Diagnose_86,87,10,870,1000,87000,88796,Diagnose_no_orderby.json,13125,ok
Diagnose_87,88,10,880,1000,88000,88374,Diagnose_no_orderby.json,13420,ok
Diagnose_88,89,10,890,1000,89000,95348,Diagnose_no_orderby.json,13483,ok
Diagnose_89,90,10,900,1000,90000,91613,Diagnose_no_orderby.json,13570,ok
Diagnose_90,91,10,910,1000,91000,98462,Diagnose_no_orderby.json,13767,ok
Diagnose_91,92,10,920,1000,92000,90920,Diagnose_no_orderby.json,13994,ok
Diagnose_92,93,10,930,1000,93000,91767,Diagnose_no_orderby.json,15302,ok
Diagnose_93,94,10,940,1000,94000,92787,Diagnose_no_orderby.json,14103,ok
Diagnose_94,95,10,950,1000,95000,95227,Diagnose_no_orderby.json,14219,ok
Diagnose_95,96,10,960,1000,96000,93596,Diagnose_no_orderby.json,14336,ok
Diagnose_96,97,10,970,1000,97000,95479,Diagnose_no_orderby.json,14524,ok
Diagnose_97,98,10,980,1000,98000,106401,Diagnose_no_orderby.json,14994,ok
Diagnose_98,99,10,990,1000,99000,95781,Diagnose_no_orderby.json,15305,ok
Diagnose_99,100,10,1000,1000,100000,98825,Diagnose_no_orderby.json,15197,ok
