template_id,template_accum,ehrs_created,ehrs_accum,compositions_committed,compositions_accum,compositions_commit_time,query,query_execution_time,csv_query_status
Diagnose_65,66,1000,66000,100,6600,4383,Diagnose_no_orderby.json,11857,ok
Diagnose_66,67,1000,67000,100,6700,4769,Diagnose_no_orderby.json,11799,ok
Diagnose_67,68,1000,68000,100,6800,4381,Diagnose_no_orderby.json,11888,ok
Diagnose_68,69,1000,69000,100,6900,4644,Diagnose_no_orderby.json,11971,ok
Diagnose_69,70,1000,70000,100,7000,5082,Diagnose_no_orderby.json,12026,ok
Diagnose_70,71,1000,71000,100,7100,4474,Diagnose_no_orderby.json,12308,ok
Diagnose_71,72,1000,72000,100,7200,4606,Diagnose_no_orderby.json,12700,ok
Diagnose_72,73,1000,73000,100,7300,4502,Diagnose_no_orderby.json,12638,ok
Diagnose_73,74,1000,74000,100,7400,4553,Diagnose_no_orderby.json,12485,ok
Diagnose_74,75,1000,75000,100,7500,4873,Diagnose_no_orderby.json,13013,ok
Diagnose_75,76,1000,76000,100,7600,4577,Diagnose_no_orderby.json,13074,ok
Diagnose_76,77,1000,77000,100,7700,4645,Diagnose_no_orderby.json,13126,ok
Diagnose_77,78,1000,78000,100,7800,4735,Diagnose_no_orderby.json,13596,ok
Diagnose_78,79,1000,79000,100,7900,4728,Diagnose_no_orderby.json,13710,ok
Diagnose_79,80,1000,80000,100,8000,4673,Diagnose_no_orderby.json,14348,ok
Diagnose_80,81,1000,81000,100,8100,4897,Diagnose_no_orderby.json,14008,ok
Diagnose_81,82,1000,82000,100,8200,4739,Diagnose_no_orderby.json,14168,ok
Diagnose_82,83,1000,83000,100,8300,4791,Diagnose_no_orderby.json,14303,ok
Diagnose_83,84,1000,84000,100,8400,4986,Diagnose_no_orderby.json,14994,ok
Diagnose_84,85,1000,85000,100,8500,4824,Diagnose_no_orderby.json,14643,ok
Diagnose_85,86,1000,86000,100,8600,4841,Diagnose_no_orderby.json,14926,ok
Diagnose_86,87,1000,87000,100,8700,4915,Diagnose_no_orderby.json,14974,ok
Diagnose_87,88,1000,88000,100,8800,4805,Diagnose_no_orderby.json,15123,ok
Diagnose_88,89,1000,89000,100,8900,4874,Diagnose_no_orderby.json,16030,ok
Diagnose_89,90,1000,90000,100,9000,4902,Diagnose_no_orderby.json,15416,ok
Diagnose_90,91,1000,91000,100,9100,5178,Diagnose_no_orderby.json,15610,ok
Diagnose_91,92,1000,92000,100,9200,5068,Diagnose_no_orderby.json,15809,ok
Diagnose_92,93,1000,93000,100,9300,4895,Diagnose_no_orderby.json,16333,ok
Diagnose_93,94,1000,94000,100,9400,5022,Diagnose_no_orderby.json,16305,ok
Diagnose_94,95,1000,95000,100,9500,5144,Diagnose_no_orderby.json,16502,ok
Diagnose_95,96,1000,96000,100,9600,5167,Diagnose_no_orderby.json,16975,ok
Diagnose_96,97,1000,97000,100,9700,5012,Diagnose_no_orderby.json,17064,ok
Diagnose_97,98,1000,98000,100,9800,5131,Diagnose_no_orderby.json,17545,ok
Diagnose_98,99,1000,99000,100,9900,5144,Diagnose_no_orderby.json,16871,ok
Diagnose_99,100,1000,100000,100,10000,5276,Diagnose_no_orderby.json,17465,ok
